COD_COUNTRY	COD_PRO	PRO_COM	VISITORS
202.0	0.0	0.0	7960
204.0	0.0	0.0	70432
206.0	0.0	0.0	25380
208.0	0.0	0.0	129672
214.0	0.0	0.0	71872
216.0	0.0	0.0	30344
219.0	0.0	0.0	26504
220.0	0.0	0.0	8652
226.0	0.0	0.0	59012
228.0	0.0	0.0	116884
230.0	0.0	0.0	13004
231.0	0.0	0.0	1260
232.0	0.0	0.0	96776
234.0	0.0	0.0	46180
238.0	0.0	0.0	11196
240.0	0.0	0.0	5380
242.0	0.0	0.0	3708
244.0	0.0	0.0	3588
246.0	0.0	0.0	5024
247.0	0.0	0.0	1852
248.0	0.0	0.0	2404
250.0	0.0	0.0	42424
255.0	0.0	0.0	408
259.0	0.0	0.0	1544
260.0	0.0	0.0	18580
262.0	0.0	0.0	109176
268.0	0.0	0.0	11532
270.0	0.0	0.0	4840
272.0	0.0	0.0	4100
274.0	0.0	0.0	264
276.0	0.0	0.0	4572
278.0	0.0	0.0	1708
280.0	0.0	0.0	916
282.0	0.0	0.0	372
284.0	0.0	0.0	21472
286.0	0.0	0.0	5724
293.0	0.0	0.0	25760
294.0	0.0	0.0	984
295.0	0.0	0.0	324
297.0	0.0	0.0	512
302.0	0.0	0.0	8560
310.0	0.0	0.0	64160
311.0	0.0	0.0	11976
334.0	0.0	0.0	12552
370.0	0.0	0.0	36
401.0	0.0	0.0	68
404.0	0.0	0.0	5308
405.0	0.0	0.0	216
413.0	0.0	0.0	132
419.0	0.0	0.0	104
420.0	0.0	0.0	848
424.0	0.0	0.0	3412
425.0	0.0	0.0	8528
427.0	0.0	0.0	260
432.0	0.0	0.0	1268
440.0	0.0	0.0	13032
450.0	0.0	0.0	3828
454.0	0.0	0.0	1868
460.0	0.0	0.0	107796
466.0	0.0	0.0	596
502.0	0.0	0.0	576
505.0	0.0	0.0	3296
510.0	0.0	0.0	2872
515.0	0.0	0.0	1224
520.0	0.0	0.0	3032
525.0	0.0	0.0	1532
530.0	0.0	0.0	660
602.0	0.0	0.0	952
604.0	0.0	0.0	756
605.0	0.0	0.0	192
621.0	0.0	0.0	240
655.0	0.0	0.0	1252
716.0	0.0	0.0	876
722.0	0.0	0.0	5796
724.0	0.0	0.0	8544
730.0	0.0	0.0	1640
732.0	0.0	0.0	496
748.0	0.0	0.0	304
901.0	0.0	0.0	96
